true,correct,total,accuracy
engine,11,16,0.6875
clapping,8,16,0.5
sneezing,6,16,0.375
sea_waves,5,16,0.3125
door_wood_knock,5,16,0.3125
dog,4,16,0.25
crying_baby,4,16,0.25
can_opening,4,16,0.25
rooster,4,16,0.25
airplane,3,16,0.1875
church_bells,3,16,0.1875
toilet_flush,3,16,0.1875
hen,2,16,0.125
chainsaw,2,16,0.125
clock_alarm,2,16,0.125
car_horn,2,16,0.125
pig,2,16,0.125
breathing,1,16,0.0625
thunderstorm,1,16,0.0625
pouring_water,1,16,0.0625
sheep,1,16,0.0625
siren,1,16,0.0625
keyboard_typing,1,16,0.0625
helicopter,1,16,0.0625
coughing,1,16,0.0625
crackling_fire,1,16,0.0625
chirping_birds,1,16,0.0625
laughing,1,16,0.0625
glass_breaking,1,16,0.0625
frog,1,16,0.0625
cat,0,16,0.0
brushing_teeth,0,16,0.0
clock_tick,0,16,0.0
cow,0,16,0.0
crow,0,16,0.0
crickets,0,16,0.0
hand_saw,0,16,0.0
insects,0,16,0.0
drinking_sipping,0,16,0.0
door_wood_creaks,0,16,0.0
fireworks,0,16,0.0
footsteps,0,16,0.0
mouse_click,0,16,0.0
rain,0,16,0.0
snoring,0,16,0.0
train,0,16,0.0
vacuum_cleaner,0,16,0.0
washing_machine,0,16,0.0
water_drops,0,16,0.0
wind,0,16,0.0
