true,correct,total,accuracy
thunderstorm,14,16,0.875
clapping,10,16,0.625
crow,9,16,0.5625
airplane,9,16,0.5625
train,9,16,0.5625
door_wood_knock,8,16,0.5
frog,8,16,0.5
sea_waves,8,16,0.5
rooster,8,16,0.5
clock_alarm,7,16,0.4375
vacuum_cleaner,7,16,0.4375
dog,7,16,0.4375
church_bells,7,16,0.4375
can_opening,7,16,0.4375
crickets,7,16,0.4375
snoring,7,16,0.4375
pig,7,16,0.4375
sneezing,6,16,0.375
wind,5,16,0.3125
toilet_flush,5,16,0.3125
crackling_fire,5,16,0.3125
cow,4,16,0.25
chirping_birds,4,16,0.25
sheep,4,16,0.25
glass_breaking,4,16,0.25
crying_baby,4,16,0.25
drinking_sipping,3,16,0.1875
hand_saw,3,16,0.1875
engine,3,16,0.1875
siren,3,16,0.1875
hen,3,16,0.1875
helicopter,3,16,0.1875
brushing_teeth,3,16,0.1875
fireworks,3,16,0.1875
mouse_click,3,16,0.1875
keyboard_typing,3,16,0.1875
laughing,2,16,0.125
insects,2,16,0.125
chainsaw,2,16,0.125
breathing,2,16,0.125
door_wood_creaks,2,16,0.125
coughing,2,16,0.125
pouring_water,2,16,0.125
rain,2,16,0.125
washing_machine,2,16,0.125
footsteps,2,16,0.125
water_drops,2,16,0.125
car_horn,1,16,0.0625
clock_tick,0,16,0.0
cat,0,16,0.0
