classes,accuracy
airplane+breathing,0.875
airplane+brushing_teeth,0.875
airplane+can_opening,1.0
airplane+car_horn,0.875
airplane+cat,0.96875
airplane+chainsaw,0.84375
airplane+chirping_birds,0.96875
airplane+church_bells,0.84375
airplane+clapping,1.0
airplane+clock_alarm,0.96875
airplane+clock_tick,1.0
airplane+coughing,1.0
airplane+cow,0.9375
airplane+crackling_fire,0.96875
airplane+crickets,0.90625
airplane+crow,1.0
airplane+crying_baby,1.0
airplane+dog,1.0
airplane+door_wood_creaks,0.875
airplane+door_wood_knock,1.0
airplane+drinking_sipping,1.0
airplane+engine,0.96875
airplane+fireworks,1.0
airplane+footsteps,1.0
airplane+frog,1.0
airplane+glass_breaking,1.0
airplane+hand_saw,0.9375
airplane+helicopter,0.78125
airplane+hen,1.0
airplane+insects,0.84375
airplane+keyboard_typing,0.96875
airplane+laughing,1.0
airplane+mouse_click,1.0
airplane+pig,0.9375
airplane+pouring_water,1.0
airplane+rain,0.78125
airplane+rooster,1.0
airplane+sea_waves,0.875
airplane+sheep,0.875
airplane+siren,0.875
airplane+sneezing,1.0
airplane+snoring,1.0
airplane+thunderstorm,0.9375
airplane+toilet_flush,1.0
airplane+train,0.8125
airplane+vacuum_cleaner,0.9375
airplane+washing_machine,0.8125
airplane+water_drops,0.96875
airplane+wind,0.75
breathing+brushing_teeth,0.71875
breathing+can_opening,0.90625
breathing+car_horn,0.625
breathing+cat,0.96875
breathing+chainsaw,0.84375
breathing+chirping_birds,0.96875
breathing+church_bells,0.9375
breathing+clapping,0.71875
breathing+clock_alarm,0.875
breathing+clock_tick,0.71875
breathing+coughing,0.90625
breathing+cow,0.78125
breathing+crackling_fire,0.96875
breathing+crickets,0.90625
breathing+crow,0.71875
breathing+crying_baby,0.8125
breathing+dog,0.84375
breathing+door_wood_creaks,0.625
breathing+door_wood_knock,0.90625
breathing+drinking_sipping,0.90625
breathing+engine,0.9375
breathing+fireworks,0.84375
breathing+footsteps,0.75
breathing+frog,0.78125
breathing+glass_breaking,0.875
breathing+hand_saw,0.75
breathing+helicopter,0.90625
breathing+hen,0.84375
breathing+insects,0.875
breathing+keyboard_typing,0.78125
breathing+laughing,0.75
breathing+mouse_click,0.8125
breathing+pig,0.59375
breathing+pouring_water,0.8125
breathing+rain,0.875
breathing+rooster,0.96875
breathing+sea_waves,0.8125
breathing+sheep,0.75
breathing+siren,0.875
breathing+sneezing,0.9375
breathing+snoring,0.90625
breathing+thunderstorm,0.84375
breathing+toilet_flush,0.75
breathing+train,0.9375
breathing+vacuum_cleaner,0.96875
breathing+washing_machine,0.84375
breathing+water_drops,0.90625
breathing+wind,0.9375
brushing_teeth+can_opening,0.78125
brushing_teeth+car_horn,0.71875
brushing_teeth+cat,0.75
brushing_teeth+chainsaw,0.75
brushing_teeth+chirping_birds,0.875
brushing_teeth+church_bells,0.90625
brushing_teeth+clapping,0.78125
brushing_teeth+clock_alarm,0.71875
brushing_teeth+clock_tick,0.8125
brushing_teeth+coughing,0.84375
brushing_teeth+cow,0.84375
brushing_teeth+crackling_fire,0.84375
brushing_teeth+crickets,0.84375
brushing_teeth+crow,0.59375
brushing_teeth+crying_baby,0.84375
brushing_teeth+dog,0.65625
brushing_teeth+door_wood_creaks,0.8125
brushing_teeth+door_wood_knock,0.8125
brushing_teeth+drinking_sipping,0.78125
brushing_teeth+engine,0.90625
brushing_teeth+fireworks,0.75
brushing_teeth+footsteps,0.8125
brushing_teeth+frog,0.65625
brushing_teeth+glass_breaking,0.84375
brushing_teeth+hand_saw,0.84375
brushing_teeth+helicopter,0.84375
brushing_teeth+hen,0.71875
brushing_teeth+insects,0.8125
brushing_teeth+keyboard_typing,0.78125
brushing_teeth+laughing,0.65625
brushing_teeth+mouse_click,0.78125
brushing_teeth+pig,0.75
brushing_teeth+pouring_water,0.6875
brushing_teeth+rain,0.84375
brushing_teeth+rooster,0.84375
brushing_teeth+sea_waves,0.84375
brushing_teeth+sheep,0.75
brushing_teeth+siren,0.84375
brushing_teeth+sneezing,0.84375
brushing_teeth+snoring,0.875
brushing_teeth+thunderstorm,0.875
brushing_teeth+toilet_flush,0.84375
brushing_teeth+train,0.90625
brushing_teeth+vacuum_cleaner,1.0
brushing_teeth+washing_machine,0.875
brushing_teeth+water_drops,0.84375
brushing_teeth+wind,0.9375
can_opening+car_horn,0.78125
can_opening+cat,0.8125
can_opening+chainsaw,1.0
can_opening+chirping_birds,0.96875
can_opening+church_bells,1.0
can_opening+clapping,0.9375
can_opening+clock_alarm,0.9375
can_opening+clock_tick,0.65625
can_opening+coughing,0.875
can_opening+cow,0.96875
can_opening+crackling_fire,0.875
can_opening+crickets,0.90625
can_opening+crow,0.9375
can_opening+crying_baby,0.9375
can_opening+dog,0.90625
can_opening+door_wood_creaks,0.875
can_opening+door_wood_knock,0.84375
can_opening+drinking_sipping,0.8125
can_opening+engine,0.96875
can_opening+fireworks,0.96875
can_opening+footsteps,0.875
can_opening+frog,0.84375
can_opening+glass_breaking,0.75
can_opening+hand_saw,0.96875
can_opening+helicopter,1.0
can_opening+hen,0.9375
can_opening+insects,0.90625
can_opening+keyboard_typing,0.84375
can_opening+laughing,0.9375
can_opening+mouse_click,0.78125
can_opening+pig,0.84375
can_opening+pouring_water,0.90625
can_opening+rain,0.96875
can_opening+rooster,0.90625
can_opening+sea_waves,0.96875
can_opening+sheep,0.96875
can_opening+siren,1.0
can_opening+sneezing,0.875
can_opening+snoring,0.96875
can_opening+thunderstorm,1.0
can_opening+toilet_flush,1.0
can_opening+train,1.0
can_opening+vacuum_cleaner,1.0
can_opening+washing_machine,0.9375
can_opening+water_drops,0.6875
can_opening+wind,1.0
car_horn+cat,0.71875
car_horn+chainsaw,0.90625
car_horn+chirping_birds,0.875
car_horn+church_bells,0.9375
car_horn+clapping,0.90625
car_horn+clock_alarm,0.875
car_horn+clock_tick,0.625
car_horn+coughing,0.75
car_horn+cow,0.6875
car_horn+crackling_fire,0.84375
car_horn+crickets,0.875
car_horn+crow,0.875
car_horn+crying_baby,0.84375
car_horn+dog,0.75
car_horn+door_wood_creaks,0.5625
car_horn+door_wood_knock,0.78125
car_horn+drinking_sipping,0.65625
car_horn+engine,0.8125
car_horn+fireworks,0.875
car_horn+footsteps,0.6875
car_horn+frog,0.84375
car_horn+glass_breaking,0.875
car_horn+hand_saw,0.8125
car_horn+helicopter,0.65625
car_horn+hen,0.6875
car_horn+insects,0.5625
car_horn+keyboard_typing,0.71875
car_horn+laughing,0.75
car_horn+mouse_click,0.71875
car_horn+pig,0.65625
car_horn+pouring_water,0.9375
car_horn+rain,0.59375
car_horn+rooster,0.84375
car_horn+sea_waves,0.875
car_horn+sheep,0.75
car_horn+siren,0.90625
car_horn+sneezing,0.875
car_horn+snoring,0.8125
car_horn+thunderstorm,0.78125
car_horn+toilet_flush,0.90625
car_horn+train,0.8125
car_horn+vacuum_cleaner,1.0
car_horn+washing_machine,0.71875
car_horn+water_drops,0.8125
car_horn+wind,0.875
cat+chainsaw,1.0
cat+chirping_birds,0.90625
cat+church_bells,1.0
cat+clapping,0.90625
cat+clock_alarm,0.84375
cat+clock_tick,0.5
cat+coughing,0.84375
cat+cow,0.90625
cat+crackling_fire,0.96875
cat+crickets,0.875
cat+crow,0.875
cat+crying_baby,0.84375
cat+dog,0.8125
cat+door_wood_creaks,0.65625
cat+door_wood_knock,0.96875
cat+drinking_sipping,0.8125
cat+engine,0.96875
cat+fireworks,0.78125
cat+footsteps,0.8125
cat+frog,0.78125
cat+glass_breaking,0.90625
cat+hand_saw,1.0
cat+helicopter,0.96875
cat+hen,0.71875
cat+insects,0.875
cat+keyboard_typing,0.78125
cat+laughing,0.625
cat+mouse_click,0.875
cat+pig,0.78125
cat+pouring_water,0.84375
cat+rain,0.875
cat+rooster,0.75
cat+sea_waves,0.96875
cat+sheep,0.875
cat+siren,0.875
cat+sneezing,0.65625
cat+snoring,0.90625
cat+thunderstorm,0.96875
cat+toilet_flush,0.96875
cat+train,0.96875
cat+vacuum_cleaner,1.0
cat+washing_machine,0.875
cat+water_drops,0.8125
cat+wind,0.96875
chainsaw+chirping_birds,0.90625
chainsaw+church_bells,0.96875
chainsaw+clapping,0.875
chainsaw+clock_alarm,0.9375
chainsaw+clock_tick,0.96875
chainsaw+coughing,0.9375
chainsaw+cow,0.9375
chainsaw+crackling_fire,0.96875
chainsaw+crickets,0.96875
chainsaw+crow,0.9375
chainsaw+crying_baby,0.9375
chainsaw+dog,0.9375
chainsaw+door_wood_creaks,0.78125
chainsaw+door_wood_knock,1.0
chainsaw+drinking_sipping,1.0
chainsaw+engine,0.90625
chainsaw+fireworks,0.90625
chainsaw+footsteps,0.9375
chainsaw+frog,0.96875
chainsaw+glass_breaking,0.96875
chainsaw+hand_saw,0.65625
chainsaw+helicopter,0.84375
chainsaw+hen,0.96875
chainsaw+insects,0.9375
chainsaw+keyboard_typing,0.9375
chainsaw+laughing,0.90625
chainsaw+mouse_click,1.0
chainsaw+pig,0.78125
chainsaw+pouring_water,0.9375
chainsaw+rain,0.6875
chainsaw+rooster,1.0
chainsaw+sea_waves,0.6875
chainsaw+sheep,0.875
chainsaw+siren,0.9375
chainsaw+sneezing,1.0
chainsaw+snoring,0.96875
chainsaw+thunderstorm,1.0
chainsaw+toilet_flush,0.84375
chainsaw+train,0.78125
chainsaw+vacuum_cleaner,0.59375
chainsaw+washing_machine,0.78125
chainsaw+water_drops,1.0
chainsaw+wind,0.9375
chirping_birds+church_bells,0.96875
chirping_birds+clapping,0.90625
chirping_birds+clock_alarm,0.84375
chirping_birds+clock_tick,0.9375
chirping_birds+coughing,0.9375
chirping_birds+cow,0.875
chirping_birds+crackling_fire,0.96875
chirping_birds+crickets,0.8125
chirping_birds+crow,0.90625
chirping_birds+crying_baby,0.8125
chirping_birds+dog,0.875
chirping_birds+door_wood_creaks,0.9375
chirping_birds+door_wood_knock,0.96875
chirping_birds+drinking_sipping,0.90625
chirping_birds+engine,0.9375
chirping_birds+fireworks,0.90625
chirping_birds+footsteps,0.9375
chirping_birds+frog,0.78125
chirping_birds+glass_breaking,0.9375
chirping_birds+hand_saw,0.90625
chirping_birds+helicopter,0.96875
chirping_birds+hen,0.78125
chirping_birds+insects,0.78125
chirping_birds+keyboard_typing,0.84375
chirping_birds+laughing,0.8125
chirping_birds+mouse_click,0.9375
chirping_birds+pig,0.84375
chirping_birds+pouring_water,0.8125
chirping_birds+rain,0.6875
chirping_birds+rooster,0.9375
chirping_birds+sea_waves,0.84375
chirping_birds+sheep,0.8125
chirping_birds+siren,0.84375
chirping_birds+sneezing,0.9375
chirping_birds+snoring,0.96875
chirping_birds+thunderstorm,0.96875
chirping_birds+toilet_flush,0.84375
chirping_birds+train,0.96875
chirping_birds+vacuum_cleaner,0.96875
chirping_birds+washing_machine,0.875
chirping_birds+water_drops,0.9375
chirping_birds+wind,0.9375
church_bells+clapping,0.875
church_bells+clock_alarm,0.90625
church_bells+clock_tick,0.96875
church_bells+coughing,1.0
church_bells+cow,0.84375
church_bells+crackling_fire,0.96875
church_bells+crickets,0.875
church_bells+crow,1.0
church_bells+crying_baby,0.96875
church_bells+dog,0.90625
church_bells+door_wood_creaks,0.9375
church_bells+door_wood_knock,1.0
church_bells+drinking_sipping,0.96875
church_bells+engine,1.0
church_bells+fireworks,0.90625
church_bells+footsteps,0.96875
church_bells+frog,0.96875
church_bells+glass_breaking,1.0
church_bells+hand_saw,1.0
church_bells+helicopter,0.84375
church_bells+hen,0.96875
church_bells+insects,0.78125
church_bells+keyboard_typing,0.90625
church_bells+laughing,0.875
church_bells+mouse_click,0.96875
church_bells+pig,0.96875
church_bells+pouring_water,1.0
church_bells+rain,0.875
church_bells+rooster,1.0
church_bells+sea_waves,0.875
church_bells+sheep,0.84375
church_bells+siren,0.71875
church_bells+sneezing,1.0
church_bells+snoring,0.96875
church_bells+thunderstorm,0.9375
church_bells+toilet_flush,0.96875
church_bells+train,0.9375
church_bells+vacuum_cleaner,0.96875
church_bells+washing_machine,0.84375
church_bells+water_drops,0.9375
church_bells+wind,0.90625
clapping+clock_alarm,0.84375
clapping+clock_tick,0.90625
clapping+coughing,0.9375
clapping+cow,0.78125
clapping+crackling_fire,0.96875
clapping+crickets,0.9375
clapping+crow,0.8125
clapping+crying_baby,0.78125
clapping+dog,0.90625
clapping+door_wood_creaks,0.8125
clapping+door_wood_knock,0.96875
clapping+drinking_sipping,0.90625
clapping+engine,0.90625
clapping+fireworks,0.90625
clapping+footsteps,0.90625
clapping+frog,0.875
clapping+glass_breaking,0.875
clapping+hand_saw,0.78125
clapping+helicopter,0.96875
clapping+hen,0.75
clapping+insects,0.9375
clapping+keyboard_typing,0.90625
clapping+laughing,0.75
clapping+mouse_click,0.9375
clapping+pig,0.71875
clapping+pouring_water,0.78125
clapping+rain,0.90625
clapping+rooster,0.90625
clapping+sea_waves,0.875
clapping+sheep,0.8125
clapping+siren,0.90625
clapping+sneezing,0.90625
clapping+snoring,0.9375
clapping+thunderstorm,0.9375
clapping+toilet_flush,0.75
clapping+train,0.96875
clapping+vacuum_cleaner,0.8125
clapping+washing_machine,0.84375
clapping+water_drops,0.96875
clapping+wind,0.96875
clock_alarm+clock_tick,0.78125
clock_alarm+coughing,0.875
clock_alarm+cow,0.96875
clock_alarm+crackling_fire,0.90625
clock_alarm+crickets,0.84375
clock_alarm+crow,0.90625
clock_alarm+crying_baby,0.875
clock_alarm+dog,0.875
clock_alarm+door_wood_creaks,0.8125
clock_alarm+door_wood_knock,0.96875
clock_alarm+drinking_sipping,0.96875
clock_alarm+engine,1.0
clock_alarm+fireworks,0.9375
clock_alarm+footsteps,0.90625
clock_alarm+frog,0.875
clock_alarm+glass_breaking,0.875
clock_alarm+hand_saw,0.875
clock_alarm+helicopter,0.96875
clock_alarm+hen,0.875
clock_alarm+insects,0.875
clock_alarm+keyboard_typing,0.75
clock_alarm+laughing,0.90625
clock_alarm+mouse_click,0.90625
clock_alarm+pig,0.71875
clock_alarm+pouring_water,0.8125
clock_alarm+rain,0.90625
clock_alarm+rooster,0.875
clock_alarm+sea_waves,0.9375
clock_alarm+sheep,0.90625
clock_alarm+siren,0.9375
clock_alarm+sneezing,0.9375
clock_alarm+snoring,0.9375
clock_alarm+thunderstorm,0.96875
clock_alarm+toilet_flush,0.875
clock_alarm+train,0.96875
clock_alarm+vacuum_cleaner,1.0
clock_alarm+washing_machine,0.96875
clock_alarm+water_drops,0.875
clock_alarm+wind,0.96875
clock_tick+coughing,0.65625
clock_tick+cow,0.90625
clock_tick+crackling_fire,0.84375
clock_tick+crickets,0.90625
clock_tick+crow,0.84375
clock_tick+crying_baby,0.75
clock_tick+dog,0.71875
clock_tick+door_wood_creaks,0.625
clock_tick+door_wood_knock,0.71875
clock_tick+drinking_sipping,0.625
clock_tick+engine,1.0
clock_tick+fireworks,0.71875
clock_tick+footsteps,0.625
clock_tick+frog,0.71875
clock_tick+glass_breaking,0.90625
clock_tick+hand_saw,0.96875
clock_tick+helicopter,0.90625
clock_tick+hen,0.625
clock_tick+insects,0.53125
clock_tick+keyboard_typing,0.5
clock_tick+laughing,0.5625
clock_tick+mouse_click,0.59375
clock_tick+pig,0.71875
clock_tick+pouring_water,0.625
clock_tick+rain,0.9375
clock_tick+rooster,0.875
clock_tick+sea_waves,0.9375
clock_tick+sheep,0.8125
clock_tick+siren,0.90625
clock_tick+sneezing,0.71875
clock_tick+snoring,0.8125
clock_tick+thunderstorm,0.9375
clock_tick+toilet_flush,0.90625
clock_tick+train,1.0
clock_tick+vacuum_cleaner,1.0
clock_tick+washing_machine,0.8125
clock_tick+water_drops,0.5625
clock_tick+wind,0.96875
coughing+cow,0.875
coughing+crackling_fire,0.96875
coughing+crickets,0.96875
coughing+crow,0.9375
coughing+crying_baby,0.875
coughing+dog,0.90625
coughing+door_wood_creaks,0.90625
coughing+door_wood_knock,0.90625
coughing+drinking_sipping,0.625
coughing+engine,0.9375
coughing+fireworks,0.96875
coughing+footsteps,0.84375
coughing+frog,0.9375
coughing+glass_breaking,0.84375
coughing+hand_saw,0.90625
coughing+helicopter,1.0
coughing+hen,0.9375
coughing+insects,0.90625
coughing+keyboard_typing,0.875
coughing+laughing,0.875
coughing+mouse_click,0.8125
coughing+pig,0.875
coughing+pouring_water,0.75
coughing+rain,0.96875
coughing+rooster,0.90625
coughing+sea_waves,1.0
coughing+sheep,1.0
coughing+siren,1.0
coughing+sneezing,0.65625
coughing+snoring,0.96875
coughing+thunderstorm,1.0
coughing+toilet_flush,0.9375
coughing+train,1.0
coughing+vacuum_cleaner,1.0
coughing+washing_machine,1.0
coughing+water_drops,0.90625
coughing+wind,1.0
cow+crackling_fire,0.96875
cow+crickets,0.90625
cow+crow,0.90625
cow+crying_baby,0.90625
cow+dog,0.90625
cow+door_wood_creaks,0.78125
cow+door_wood_knock,0.9375
cow+drinking_sipping,0.875
cow+engine,0.96875
cow+fireworks,0.9375
cow+footsteps,0.875
cow+frog,0.875
cow+glass_breaking,1.0
cow+hand_saw,0.9375
cow+helicopter,0.90625
cow+hen,0.78125
cow+insects,0.75
cow+keyboard_typing,0.78125
cow+laughing,0.75
cow+mouse_click,0.96875
cow+pig,0.6875
cow+pouring_water,0.90625
cow+rain,0.9375
cow+rooster,0.90625
cow+sea_waves,0.90625
cow+sheep,0.71875
cow+siren,0.75
cow+sneezing,0.9375
cow+snoring,0.96875
cow+thunderstorm,0.90625
cow+toilet_flush,0.84375
cow+train,0.96875
cow+vacuum_cleaner,0.96875
cow+washing_machine,0.84375
cow+water_drops,0.9375
cow+wind,1.0
crackling_fire+crickets,0.90625
crackling_fire+crow,0.9375
crackling_fire+crying_baby,0.96875
crackling_fire+dog,0.96875
crackling_fire+door_wood_creaks,0.9375
crackling_fire+door_wood_knock,0.9375
crackling_fire+drinking_sipping,0.875
crackling_fire+engine,0.96875
crackling_fire+fireworks,0.84375
crackling_fire+footsteps,0.8125
crackling_fire+frog,0.8125
crackling_fire+glass_breaking,0.9375
crackling_fire+hand_saw,0.96875
crackling_fire+helicopter,0.96875
crackling_fire+hen,0.90625
crackling_fire+insects,0.78125
crackling_fire+keyboard_typing,0.9375
crackling_fire+laughing,0.9375
crackling_fire+mouse_click,0.5625
crackling_fire+pig,0.84375
crackling_fire+pouring_water,0.9375
crackling_fire+rain,0.875
crackling_fire+rooster,1.0
crackling_fire+sea_waves,0.96875
crackling_fire+sheep,0.9375
crackling_fire+siren,0.96875
crackling_fire+sneezing,0.90625
crackling_fire+snoring,0.75
crackling_fire+thunderstorm,0.78125
crackling_fire+toilet_flush,0.96875
crackling_fire+train,0.96875
crackling_fire+vacuum_cleaner,1.0
crackling_fire+washing_machine,0.9375
crackling_fire+water_drops,0.53125
crackling_fire+wind,0.9375
crickets+crow,0.96875
crickets+crying_baby,0.9375
crickets+dog,0.96875
crickets+door_wood_creaks,0.9375
crickets+door_wood_knock,0.96875
crickets+drinking_sipping,0.9375
crickets+engine,0.9375
crickets+fireworks,0.9375
crickets+footsteps,0.96875
crickets+frog,0.9375
crickets+glass_breaking,0.96875
crickets+hand_saw,0.90625
crickets+helicopter,0.75
crickets+hen,0.84375
crickets+insects,0.84375
crickets+keyboard_typing,0.9375
crickets+laughing,0.9375
crickets+mouse_click,0.9375
crickets+pig,0.90625
crickets+pouring_water,0.96875
crickets+rain,0.84375
crickets+rooster,0.96875
crickets+sea_waves,0.90625
crickets+sheep,0.90625
crickets+siren,0.9375
crickets+sneezing,0.96875
crickets+snoring,0.96875
crickets+thunderstorm,0.96875
crickets+toilet_flush,0.9375
crickets+train,0.875
crickets+vacuum_cleaner,1.0
crickets+washing_machine,0.75
crickets+water_drops,0.875
crickets+wind,0.90625
crow+crying_baby,0.875
crow+dog,0.90625
crow+door_wood_creaks,0.71875
crow+door_wood_knock,0.96875
crow+drinking_sipping,0.9375
crow+engine,0.90625
crow+fireworks,0.90625
crow+footsteps,0.90625
crow+frog,0.78125
crow+glass_breaking,1.0
crow+hand_saw,0.84375
crow+helicopter,0.96875
crow+hen,0.90625
crow+insects,0.875
crow+keyboard_typing,0.875
crow+laughing,0.8125
crow+mouse_click,0.875
crow+pig,0.75
crow+pouring_water,0.84375
crow+rain,0.9375
crow+rooster,0.8125
crow+sea_waves,0.9375
crow+sheep,0.90625
crow+siren,0.875
crow+sneezing,0.96875
crow+snoring,0.96875
crow+thunderstorm,0.9375
crow+toilet_flush,0.8125
crow+train,1.0
crow+vacuum_cleaner,0.9375
crow+washing_machine,0.875
