classes,accuracy
airplane+breathing+brushing_teeth,0.7083333333333334
airplane+breathing+can_opening,0.8541666666666666
airplane+breathing+car_horn,0.6458333333333334
airplane+breathing+cat,0.875
airplane+breathing+chainsaw,0.75
airplane+breathing+chirping_birds,0.875
airplane+breathing+church_bells,0.8125
airplane+breathing+clapping,0.7708333333333334
airplane+breathing+clock_alarm,0.8333333333333334
airplane+breathing+clock_tick,0.7708333333333334
airplane+breathing+coughing,0.8541666666666666
airplane+breathing+cow,0.7916666666666666
airplane+breathing+crackling_fire,0.8958333333333334
airplane+breathing+crickets,0.8333333333333334
airplane+breathing+crow,0.7916666666666666
airplane+breathing+crying_baby,0.7916666666666666
airplane+breathing+dog,0.8333333333333334
airplane+breathing+door_wood_creaks,0.7083333333333334
airplane+breathing+door_wood_knock,0.8541666666666666
airplane+breathing+drinking_sipping,0.875
airplane+breathing+engine,0.875
airplane+breathing+fireworks,0.8541666666666666
airplane+breathing+footsteps,0.7916666666666666
airplane+breathing+frog,0.8125
airplane+breathing+glass_breaking,0.8333333333333334
airplane+breathing+hand_saw,0.7291666666666666
airplane+breathing+helicopter,0.7708333333333334
airplane+breathing+hen,0.8333333333333334
airplane+breathing+insects,0.7708333333333334
airplane+breathing+keyboard_typing,0.7708333333333334
airplane+breathing+laughing,0.7708333333333334
airplane+breathing+mouse_click,0.8125
airplane+breathing+pig,0.6666666666666666
airplane+breathing+pouring_water,0.7916666666666666
airplane+breathing+rain,0.7291666666666666
airplane+breathing+rooster,0.8958333333333334
airplane+breathing+sea_waves,0.75
airplane+breathing+sheep,0.75
airplane+breathing+siren,0.8125
airplane+breathing+sneezing,0.875
airplane+breathing+snoring,0.875
airplane+breathing+thunderstorm,0.8541666666666666
airplane+breathing+toilet_flush,0.7916666666666666
airplane+breathing+train,0.7916666666666666
airplane+breathing+vacuum_cleaner,0.875
airplane+breathing+washing_machine,0.7708333333333334
airplane+breathing+water_drops,0.875
airplane+breathing+wind,0.75
airplane+brushing_teeth+can_opening,0.7916666666666666
airplane+brushing_teeth+car_horn,0.7083333333333334
airplane+brushing_teeth+cat,0.7708333333333334
airplane+brushing_teeth+chainsaw,0.7291666666666666
airplane+brushing_teeth+chirping_birds,0.8333333333333334
airplane+brushing_teeth+church_bells,0.7916666666666666
airplane+brushing_teeth+clapping,0.8333333333333334
airplane+brushing_teeth+clock_alarm,0.7291666666666666
airplane+brushing_teeth+clock_tick,0.8333333333333334
airplane+brushing_teeth+coughing,0.8125
airplane+brushing_teeth+cow,0.8333333333333334
airplane+brushing_teeth+crackling_fire,0.8125
airplane+brushing_teeth+crickets,0.8125
airplane+brushing_teeth+crow,0.7083333333333334
airplane+brushing_teeth+crying_baby,0.8125
airplane+brushing_teeth+dog,0.75
airplane+brushing_teeth+door_wood_creaks,0.75
airplane+brushing_teeth+door_wood_knock,0.8333333333333334
airplane+brushing_teeth+drinking_sipping,0.8125
airplane+brushing_teeth+engine,0.875
airplane+brushing_teeth+fireworks,0.7916666666666666
airplane+brushing_teeth+footsteps,0.8333333333333334
airplane+brushing_teeth+frog,0.75
airplane+brushing_teeth+glass_breaking,0.8125
airplane+brushing_teeth+hand_saw,0.8333333333333334
airplane+brushing_teeth+helicopter,0.7291666666666666
airplane+brushing_teeth+hen,0.7916666666666666
airplane+brushing_teeth+insects,0.7291666666666666
airplane+brushing_teeth+keyboard_typing,0.7916666666666666
airplane+brushing_teeth+laughing,0.7291666666666666
airplane+brushing_teeth+mouse_click,0.8125
airplane+brushing_teeth+pig,0.7708333333333334
airplane+brushing_teeth+pouring_water,0.7291666666666666
airplane+brushing_teeth+rain,0.75
airplane+brushing_teeth+rooster,0.8125
airplane+brushing_teeth+sea_waves,0.7916666666666666
airplane+brushing_teeth+sheep,0.7291666666666666
airplane+brushing_teeth+siren,0.7708333333333334
airplane+brushing_teeth+sneezing,0.8125
airplane+brushing_teeth+snoring,0.875
airplane+brushing_teeth+thunderstorm,0.8541666666666666
airplane+brushing_teeth+toilet_flush,0.875
airplane+brushing_teeth+train,0.7916666666666666
airplane+brushing_teeth+vacuum_cleaner,0.875
airplane+brushing_teeth+washing_machine,0.7708333333333334
airplane+brushing_teeth+water_drops,0.8125
airplane+brushing_teeth+wind,0.75
airplane+can_opening+car_horn,0.7708333333333334
airplane+can_opening+cat,0.8541666666666666
airplane+can_opening+chainsaw,0.8958333333333334
airplane+can_opening+chirping_birds,0.9583333333333334
airplane+can_opening+church_bells,0.8958333333333334
airplane+can_opening+clapping,0.9583333333333334
airplane+can_opening+clock_alarm,0.9583333333333334
airplane+can_opening+clock_tick,0.7708333333333334
airplane+can_opening+coughing,0.9166666666666666
airplane+can_opening+cow,0.9375
airplane+can_opening+crackling_fire,0.8958333333333334
airplane+can_opening+crickets,0.875
airplane+can_opening+crow,0.9583333333333334
airplane+can_opening+crying_baby,0.9583333333333334
airplane+can_opening+dog,0.9375
airplane+can_opening+door_wood_creaks,0.8333333333333334
airplane+can_opening+door_wood_knock,0.8958333333333334
airplane+can_opening+drinking_sipping,0.875
airplane+can_opening+engine,0.9583333333333334
airplane+can_opening+fireworks,0.9791666666666666
airplane+can_opening+footsteps,0.9166666666666666
airplane+can_opening+frog,0.8958333333333334
airplane+can_opening+glass_breaking,0.8333333333333334
airplane+can_opening+hand_saw,0.9375
airplane+can_opening+helicopter,0.8541666666666666
airplane+can_opening+hen,0.9583333333333334
airplane+can_opening+insects,0.8333333333333334
airplane+can_opening+keyboard_typing,0.875
airplane+can_opening+laughing,0.9583333333333334
airplane+can_opening+mouse_click,0.8541666666666666
airplane+can_opening+pig,0.8541666666666666
airplane+can_opening+pouring_water,0.9375
airplane+can_opening+rain,0.8333333333333334
airplane+can_opening+rooster,0.9375
airplane+can_opening+sea_waves,0.8958333333333334
airplane+can_opening+sheep,0.8958333333333334
airplane+can_opening+siren,0.9166666666666666
airplane+can_opening+sneezing,0.9166666666666666
airplane+can_opening+snoring,0.9791666666666666
airplane+can_opening+thunderstorm,0.9583333333333334
airplane+can_opening+toilet_flush,1.0
airplane+can_opening+train,0.875
airplane+can_opening+vacuum_cleaner,0.9583333333333334
airplane+can_opening+washing_machine,0.8541666666666666
airplane+can_opening+water_drops,0.7708333333333334
airplane+can_opening+wind,0.8333333333333334
airplane+car_horn+cat,0.75
airplane+car_horn+chainsaw,0.7708333333333334
airplane+car_horn+chirping_birds,0.8333333333333334
airplane+car_horn+church_bells,0.7916666666666666
airplane+car_horn+clapping,0.8541666666666666
airplane+car_horn+clock_alarm,0.8333333333333334
airplane+car_horn+clock_tick,0.6875
airplane+car_horn+coughing,0.75
airplane+car_horn+cow,0.6875
airplane+car_horn+crackling_fire,0.8125
airplane+car_horn+crickets,0.8333333333333334
airplane+car_horn+crow,0.8541666666666666
airplane+car_horn+crying_baby,0.8125
airplane+car_horn+dog,0.75
airplane+car_horn+door_wood_creaks,0.625
airplane+car_horn+door_wood_knock,0.7708333333333334
airplane+car_horn+drinking_sipping,0.7083333333333334
airplane+car_horn+engine,0.7916666666666666
airplane+car_horn+fireworks,0.8333333333333334
airplane+car_horn+footsteps,0.75
airplane+car_horn+frog,0.8333333333333334
airplane+car_horn+glass_breaking,0.8333333333333334
airplane+car_horn+hand_saw,0.7708333333333334
airplane+car_horn+helicopter,0.625
airplane+car_horn+hen,0.75
airplane+car_horn+insects,0.6458333333333334
airplane+car_horn+keyboard_typing,0.7291666666666666
airplane+car_horn+laughing,0.75
airplane+car_horn+mouse_click,0.7291666666666666
airplane+car_horn+pig,0.6875
airplane+car_horn+pouring_water,0.875
airplane+car_horn+rain,0.6458333333333334
airplane+car_horn+rooster,0.8125
airplane+car_horn+sea_waves,0.8333333333333334
airplane+car_horn+sheep,0.7083333333333334
airplane+car_horn+siren,0.8125
airplane+car_horn+sneezing,0.8333333333333334
airplane+car_horn+snoring,0.7916666666666666
airplane+car_horn+thunderstorm,0.8125
